Repository;PathDataset;N_TestNonFlaky;N_TestFlaky;N_TestFlakyPersi;N_TF_NonRilevatiDalDetector;Lista_TF_NonRilevatiDalDetector
nacos(f136dde8fae27797156f0ecb9abbe80774beaea4);D:\Universita\FlakyPaper\DataSet\CSV\nacos(f136dde8fae27797156f0ecb9abbe80774beaea4).csv;2170;26;1;[];[]
Sentinel;D:\Universita\FlakyPaper\DataSet\CSV\Sentinel.csv;625;0;3;[];[]
tamper;D:\Universita\FlakyPaper\DataSet\CSV\tamper.csv;25;0;2;[];[]
testable-mock;D:\Universita\FlakyPaper\DataSet\CSV\testable-mock.csv;71;1;0;[];[]
wasp;D:\Universita\FlakyPaper\DataSet\CSV\wasp.csv;126;123;12;[];[]
alien4cloud;D:\Universita\FlakyPaper\DataSet\CSV\alien4cloud.csv;459;1;0;[];[]
alluxio;D:\Universita\FlakyPaper\DataSet\CSV\alluxio.csv;3395;8;0;[];[]
alluxio(e6d76803f27133d7700811585f5310470e50e487);D:\Universita\FlakyPaper\DataSet\CSV\alluxio(e6d76803f27133d7700811585f5310470e50e487).csv;2370;2;0;[];[]
jenkins-opentracing-plugin;D:\Universita\FlakyPaper\DataSet\CSV\jenkins-opentracing-plugin.csv;20;0;1;['org.jvnet.hudson.test.PluginAutomaticTestBuilder$OtherTests.testPluginActive'];['org.jvnet.hudson.test.PluginAutomaticTestBuilder$OtherTests.testPluginActive']
workflow-cps-global-lib-http-plugin;D:\Universita\FlakyPaper\DataSet\CSV\workflow-cps-global-lib-http-plugin.csv;19;0;1;[];[]
amazon-hub-counter-sdk-java;D:\Universita\FlakyPaper\DataSet\CSV\amazon-hub-counter-sdk-java.csv;26;1;0;[];[]
amazon-instant-access-sdk-java;D:\Universita\FlakyPaper\DataSet\CSV\amazon-instant-access-sdk-java.csv;99;2;0;[];[]
amazon-pay-api-sdk-java;D:\Universita\FlakyPaper\DataSet\CSV\amazon-pay-api-sdk-java.csv;23;0;1;[];[]
aries-cdi;D:\Universita\FlakyPaper\DataSet\CSV\aries-cdi.csv;73;1;1;[];[]
atlas;D:\Universita\FlakyPaper\DataSet\CSV\atlas.csv;1854;4;0;[];[]
avro;D:\Universita\FlakyPaper\DataSet\CSV\avro.csv;665;0;4;[];[]
bookkeeper;D:\Universita\FlakyPaper\DataSet\CSV\bookkeeper.csv;2916;1;5;[];[]
cayenne;D:\Universita\FlakyPaper\DataSet\CSV\cayenne.csv;5095;4;0;[];[]
commons-collections;D:\Universita\FlakyPaper\DataSet\CSV\commons-collections.csv;971;18;26;['org.apache.commons.collections4.bag.CollectionBagTest.testCollectionToArray2', 'org.apache.commons.collections4.bag.HashBagTest.testCollectionToArray2', 'org.apache.commons.collections4.bag.PredicatedBagTest.testCollectionToArray2', 'org.apache.commons.collections4.bag.SynchronizedBagTest.testCollectionToArray2', 'org.apache.commons.collections4.bag.TransformedBagTest.testCollectionToArray2', 'org.apache.commons.collections4.bag.UnmodifiableBagTest.testCollectionToArray2', 'org.apache.commons.collections4.bidimap.DualHashBidiMapTest.testBidiKeySetValuesOrder', 'org.apache.commons.collections4.bidimap.DualHashBidiMapTest.testCollectionToArray2', 'org.apache.commons.collections4.bidimap.UnmodifiableBidiMapTest.testBidiKeySetValuesOrder', 'org.apache.commons.collections4.bidimap.UnmodifiableBidiMapTest.testCollectionToArray2', 'org.apache.commons.collections4.map.PassiveExpiringMapTest.testCollectionToArray2', 'org.apache.commons.collections4.multimap.ArrayListValuedHashMapTest.testCollectionToArray2', 'org.apache.commons.collections4.multimap.ArrayListValuedHashMapTest.testMultiValuedMapIterator', 'org.apache.commons.collections4.multimap.HashSetValuedHashMapTest.testCollectionToArray2', 'org.apache.commons.collections4.multimap.HashSetValuedHashMapTest.testToString', 'org.apache.commons.collections4.multimap.TransformedMultiValuedMapTest.testCollectionToArray2', 'org.apache.commons.collections4.multimap.TransformedMultiValuedMapTest.testToString', 'org.apache.commons.collections4.multimap.UnmodifiableMultiValuedMapTest.testCollectionToArray2', 'org.apache.commons.collections4.multiset.HashMultiSetTest.testCollectionToArray2', 'org.apache.commons.collections4.multiset.PredicatedMultiSetTest.testCollectionToArray2', 'org.apache.commons.collections4.multiset.SynchronizedMultiSetTest.testCollectionToArray2', 'org.apache.commons.collections4.multiset.UnmodifiableMultiSetTest.testCollectionToArray2', 'org.apache.commons.collections4.set.CompositeSetTest.testCollectionToArray2', 'org.apache.commons.collections4.set.PredicatedSetTest.testCollectionToArray2', 'org.apache.commons.collections4.set.TransformedSetTest.testCollectionToArray2', 'org.apache.commons.collections4.set.UnmodifiableSetTest.testCollectionToArray2'];['org.apache.commons.collections4.bag.CollectionBagTest.testCollectionToArray2', 'org.apache.commons.collections4.bag.HashBagTest.testCollectionToArray2', 'org.apache.commons.collections4.bag.PredicatedBagTest.testCollectionToArray2', 'org.apache.commons.collections4.bag.SynchronizedBagTest.testCollectionToArray2', 'org.apache.commons.collections4.bag.TransformedBagTest.testCollectionToArray2', 'org.apache.commons.collections4.bag.UnmodifiableBagTest.testCollectionToArray2', 'org.apache.commons.collections4.bidimap.DualHashBidiMapTest.testBidiKeySetValuesOrder', 'org.apache.commons.collections4.bidimap.DualHashBidiMapTest.testCollectionToArray2', 'org.apache.commons.collections4.bidimap.UnmodifiableBidiMapTest.testBidiKeySetValuesOrder', 'org.apache.commons.collections4.bidimap.UnmodifiableBidiMapTest.testCollectionToArray2', 'org.apache.commons.collections4.map.PassiveExpiringMapTest.testCollectionToArray2', 'org.apache.commons.collections4.multimap.ArrayListValuedHashMapTest.testCollectionToArray2', 'org.apache.commons.collections4.multimap.ArrayListValuedHashMapTest.testMultiValuedMapIterator', 'org.apache.commons.collections4.multimap.HashSetValuedHashMapTest.testCollectionToArray2', 'org.apache.commons.collections4.multimap.HashSetValuedHashMapTest.testToString', 'org.apache.commons.collections4.multimap.TransformedMultiValuedMapTest.testCollectionToArray2', 'org.apache.commons.collections4.multimap.TransformedMultiValuedMapTest.testToString', 'org.apache.commons.collections4.multimap.UnmodifiableMultiValuedMapTest.testCollectionToArray2', 'org.apache.commons.collections4.multiset.HashMultiSetTest.testCollectionToArray2', 'org.apache.commons.collections4.multiset.PredicatedMultiSetTest.testCollectionToArray2', 'org.apache.commons.collections4.multiset.SynchronizedMultiSetTest.testCollectionToArray2', 'org.apache.commons.collections4.multiset.UnmodifiableMultiSetTest.testCollectionToArray2', 'org.apache.commons.collections4.set.CompositeSetTest.testCollectionToArray2', 'org.apache.commons.collections4.set.PredicatedSetTest.testCollectionToArray2', 'org.apache.commons.collections4.set.TransformedSetTest.testCollectionToArray2', 'org.apache.commons.collections4.set.UnmodifiableSetTest.testCollectionToArray2']
commons-collections(81e3a7ec0492148724da4512fcefcb47ba82894a);D:\Universita\FlakyPaper\DataSet\CSV\commons-collections(81e3a7ec0492148724da4512fcefcb47ba82894a).csv;986;1;3;['org.apache.commons.collections4.map.Flat3MapTest.testEntrySet', 'org.apache.commons.collections4.multimap.UnmodifiableMultiValuedMapTest.testRemoveException', 'org.apache.commons.collections4.multimap.UnmodifiableMultiValuedMapTest.testRemoveMappingException'];['org.apache.commons.collections4.map.Flat3MapTest.testEntrySet', 'org.apache.commons.collections4.multimap.UnmodifiableMultiValuedMapTest.testRemoveException', 'org.apache.commons.collections4.multimap.UnmodifiableMultiValuedMapTest.testRemoveMappingException']
commons-collections(14ff6fae576085767045bff074c35f2b0220b317);D:\Universita\FlakyPaper\DataSet\CSV\commons-collections(14ff6fae576085767045bff074c35f2b0220b317).csv;987;0;3;['org.apache.commons.collections4.map.AbstractMapTest$TestMapEntrySet.testCollectionToArray2', 'org.apache.commons.collections4.multimap.ArrayListValuedHashMapTest.testToString', 'org.apache.commons.collections4.multimap.TransformedMultiValuedMapTest.testMultiValuedMapIterator'];['org.apache.commons.collections4.map.AbstractMapTest$TestMapEntrySet.testCollectionToArray2', 'org.apache.commons.collections4.multimap.ArrayListValuedHashMapTest.testToString', 'org.apache.commons.collections4.multimap.TransformedMultiValuedMapTest.testMultiValuedMapIterator']
commons-lang;D:\Universita\FlakyPaper\DataSet\CSV\commons-lang.csv;2782;25;1;[];[]
commons-math;D:\Universita\FlakyPaper\DataSet\CSV\commons-math.csv;3186;2;2;['org.apache.commons.math4.complex.ComplexFormatTest.testGetAvailableLocales', 'org.apache.commons.math4.complex.FrenchComplexFormatTest.testGetAvailableLocales'];['org.apache.commons.math4.complex.ComplexFormatTest.testGetAvailableLocales', 'org.apache.commons.math4.complex.FrenchComplexFormatTest.testGetAvailableLocales']
cxf;D:\Universita\FlakyPaper\DataSet\CSV\cxf.csv;5736;8;3;['org.apache.cxf.io.CacheAndWriteOutputStreamTest.testDeleteTmpFile', 'org.apache.cxf.io.CachedOutputStreamTest.testDeleteTmpFile'];['org.apache.cxf.io.CacheAndWriteOutputStreamTest.testDeleteTmpFile', 'org.apache.cxf.io.CachedOutputStreamTest.testDeleteTmpFile']
dolphinscheduler;D:\Universita\FlakyPaper\DataSet\CSV\dolphinscheduler.csv;1405;1;0;[];[]
dubbo;D:\Universita\FlakyPaper\DataSet\CSV\dubbo.csv;1718;139;17;['org.apache.dubbo.remoting.transport.netty4.NettyClientToServerTest.testFuture', 'org.apache.dubbo.rpc.proxy.javassist.JavassistProxyFactoryTest.testGetInvoker', 'org.apache.dubbo.rpc.proxy.jdk.JdkProxyFactoryTest.testGetInvoker'];['org.apache.dubbo.remoting.transport.netty4.NettyClientToServerTest.testFuture', 'org.apache.dubbo.rpc.proxy.javassist.JavassistProxyFactoryTest.testGetInvoker', 'org.apache.dubbo.rpc.proxy.jdk.JdkProxyFactoryTest.testGetInvoker']
dubbo-admin;D:\Universita\FlakyPaper\DataSet\CSV\dubbo-admin.csv;79;1;0;[];[]
flink;D:\Universita\FlakyPaper\DataSet\CSV\flink.csv;10979;24;18;['org.apache.flink.runtime.state.FileStateBackendMigrationTest.testKeyedMapStateAsIs', 'org.apache.flink.runtime.state.FileStateBackendMigrationTest.testKeyedMapStateSerializerReconfiguration', 'org.apache.flink.runtime.state.FileStateBackendMigrationTest.testKeyedMapStateStateMigration', 'org.apache.flink.table.descriptors.KafkaTest.testValidation', 'org.apache.flink.table.expressions.MapTypeTest.testMapField', 'org.apache.flink.table.expressions.MapTypeTest.testMapLiteral', 'org.apache.flink.table.expressions.MapTypeTest.testMapTypeCasting', 'org.apache.flink.table.expressions.SqlExpressionTest.testValueConstructorFunctions', 'org.apache.flink.table.planner.expressions.MapTypeTest.testMapField', 'org.apache.flink.table.planner.expressions.MapTypeTest.testMapTypeCasting', 'org.apache.flink.table.planner.expressions.ScalarFunctionsTest.testPi', 'org.apache.flink.table.planner.expressions.ScalarFunctionsTest.testStringToMap', 'org.apache.flink.table.planner.expressions.SqlExpressionTest.testArithmeticFunctions', 'org.apache.flink.table.runtime.harness.AggFunctionHarnessTest.testCollectAggregate'];['org.apache.flink.runtime.state.FileStateBackendMigrationTest.testKeyedMapStateAsIs', 'org.apache.flink.runtime.state.FileStateBackendMigrationTest.testKeyedMapStateSerializerReconfiguration', 'org.apache.flink.runtime.state.FileStateBackendMigrationTest.testKeyedMapStateStateMigration', 'org.apache.flink.table.descriptors.KafkaTest.testValidation', 'org.apache.flink.table.expressions.MapTypeTest.testMapField', 'org.apache.flink.table.expressions.MapTypeTest.testMapLiteral', 'org.apache.flink.table.expressions.MapTypeTest.testMapTypeCasting', 'org.apache.flink.table.expressions.SqlExpressionTest.testValueConstructorFunctions', 'org.apache.flink.table.planner.expressions.MapTypeTest.testMapField', 'org.apache.flink.table.planner.expressions.MapTypeTest.testMapTypeCasting', 'org.apache.flink.table.planner.expressions.ScalarFunctionsTest.testPi', 'org.apache.flink.table.planner.expressions.ScalarFunctionsTest.testStringToMap', 'org.apache.flink.table.planner.expressions.SqlExpressionTest.testArithmeticFunctions', 'org.apache.flink.table.runtime.harness.AggFunctionHarnessTest.testCollectAggregate']
geronimo-batchee;D:\Universita\FlakyPaper\DataSet\CSV\geronimo-batchee.csv;92;0;1;[];[]
hbase;D:\Universita\FlakyPaper\DataSet\CSV\hbase.csv;5990;11;9;['org.apache.hadoop.hbase.master.TestCatalogJanitor.testParentCleanedEvenIfDaughterGoneFirst', 'org.apache.hadoop.hbase.replication.regionserver.TestDrainReplicationQueuesForStandBy.test', 'org.apache.hadoop.hbase.snapshot.TestMobRestoreSnapshotHelper'];['org.apache.hadoop.hbase.master.TestCatalogJanitor.testParentCleanedEvenIfDaughterGoneFirst', 'org.apache.hadoop.hbase.replication.regionserver.TestDrainReplicationQueuesForStandBy.test', 'org.apache.hadoop.hbase.snapshot.TestMobRestoreSnapshotHelper']
hbase(881c92b892844be567d5f26b161a820ebf319f84);D:\Universita\FlakyPaper\DataSet\CSV\hbase(881c92b892844be567d5f26b161a820ebf319f84).csv;5684;18;17;['org.apache.hadoop.hbase.replication.TestReplicationStateZKImpl.testHfileRefsReplicationQueues', 'org.apache.hadoop.hbase.replication.TestReplicationStateZKImpl.testPersistLogPositionAndSeqIdAtomically', 'org.apache.hadoop.hbase.replication.TestReplicationStateZKImpl.testRemovePeerForHFileRefs', 'org.apache.hadoop.hbase.replication.TestReplicationStateZKImpl.testReplicationPeers', 'org.apache.hadoop.hbase.replication.TestReplicationStateZKImpl.testReplicationQueues', 'org.apache.hadoop.hbase.replication.TestReplicationStateZKImpl.testReplicationQueueStorage'];['org.apache.hadoop.hbase.replication.TestReplicationStateZKImpl.testHfileRefsReplicationQueues', 'org.apache.hadoop.hbase.replication.TestReplicationStateZKImpl.testPersistLogPositionAndSeqIdAtomically', 'org.apache.hadoop.hbase.replication.TestReplicationStateZKImpl.testRemovePeerForHFileRefs', 'org.apache.hadoop.hbase.replication.TestReplicationStateZKImpl.testReplicationPeers', 'org.apache.hadoop.hbase.replication.TestReplicationStateZKImpl.testReplicationQueues', 'org.apache.hadoop.hbase.replication.TestReplicationStateZKImpl.testReplicationQueueStorage']
hive;D:\Universita\FlakyPaper\DataSet\CSV\hive.csv;5516;8;18;['org.apache.hadoop.hive.metastore.TestEmbeddedHiveMetaStore.testDatabase', 'org.apache.hadoop.hive.metastore.TestEmbeddedHiveMetaStore.testPartition', 'org.apache.hadoop.hive.metastore.TestEmbeddedHiveMetaStore.testSimpleFunction', 'org.apache.hadoop.hive.serde2.lazybinary.TestLazyBinarySerDe2.testLazyBinarySerDe'];['org.apache.hadoop.hive.metastore.TestEmbeddedHiveMetaStore.testDatabase', 'org.apache.hadoop.hive.metastore.TestEmbeddedHiveMetaStore.testPartition', 'org.apache.hadoop.hive.metastore.TestEmbeddedHiveMetaStore.testSimpleFunction', 'org.apache.hadoop.hive.serde2.lazybinary.TestLazyBinarySerDe2.testLazyBinarySerDe']
hive(54e43339dd671018fc70ebb5d9f0b292d70391a6);D:\Universita\FlakyPaper\DataSet\CSV\hive(54e43339dd671018fc70ebb5d9f0b292d70391a6).csv;6298;20;0;[];[]
hudi;D:\Universita\FlakyPaper\DataSet\CSV\hudi.csv;1543;1;0;[];[]
incubator-ratis;D:\Universita\FlakyPaper\DataSet\CSV\incubator-ratis.csv;266;1;14;['org.apache.ratis.hadooprpc.TestLeaderElectionWithHadoopRpc.testChangeLeader', 'org.apache.ratis.hadooprpc.TestRaftExceptionWithHadoopRpc.testHandleNotLeaderException', 'org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testBootstrapReconf', 'org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testBootstrapReconfWithSingleNodeAddOne', 'org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testBootstrapReconfWithSingleNodeAddTwo', 'org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testLeaderNotReadyException', 'org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testNoChangeRequest', 'org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testReconfTwice', 'org.apache.ratis.hadooprpc.TestRaftWithHadoopRpc.testBasicAppendEntries', 'org.apache.ratis.hadooprpc.TestRaftWithHadoopRpc.testBasicAppendEntriesKillLeader', 'org.apache.ratis.hadooprpc.TestRetryCacheWithHadoopRpc.testBasicRetry', 'org.apache.ratis.hadooprpc.TestRetryCacheWithHadoopRpc.testRetryOnNewLeader'];['org.apache.ratis.hadooprpc.TestLeaderElectionWithHadoopRpc.testChangeLeader', 'org.apache.ratis.hadooprpc.TestRaftExceptionWithHadoopRpc.testHandleNotLeaderException', 'org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testBootstrapReconf', 'org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testBootstrapReconfWithSingleNodeAddOne', 'org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testBootstrapReconfWithSingleNodeAddTwo', 'org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testLeaderNotReadyException', 'org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testNoChangeRequest', 'org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testReconfTwice', 'org.apache.ratis.hadooprpc.TestRaftWithHadoopRpc.testBasicAppendEntries', 'org.apache.ratis.hadooprpc.TestRaftWithHadoopRpc.testBasicAppendEntriesKillLeader', 'org.apache.ratis.hadooprpc.TestRetryCacheWithHadoopRpc.testBasicRetry', 'org.apache.ratis.hadooprpc.TestRetryCacheWithHadoopRpc.testRetryOnNewLeader']
incubator-wayang;D:\Universita\FlakyPaper\DataSet\CSV\incubator-wayang.csv;311;1;0;[];[]
iotdb;D:\Universita\FlakyPaper\DataSet\CSV\iotdb.csv;4511;11;7;[];[]
jackrabbit-oak;D:\Universita\FlakyPaper\DataSet\CSV\jackrabbit-oak.csv;11053;23;2;[];[]
kylin;D:\Universita\FlakyPaper\DataSet\CSV\kylin.csv;1506;3;0;[];[]
log4j;D:\Universita\FlakyPaper\DataSet\CSV\log4j.csv;648;0;1;[];[]
nifi;D:\Universita\FlakyPaper\DataSet\CSV\nifi.csv;12435;136;12;['org.apache.nifi.cluster.coordination.http.StandardHttpResponseMapperSpec.'];['org.apache.nifi.cluster.coordination.http.StandardHttpResponseMapperSpec.']
nifi-registry;D:\Universita\FlakyPaper\DataSet\CSV\nifi-registry.csv;360;0;1;['org.apache.nifi.registry.security.authorization.ResourceAuthorizationFilterSpec.securerequeststoanunguardedresourceareallowedwithoutanauthorizationcheck'];['org.apache.nifi.registry.security.authorization.ResourceAuthorizationFilterSpec.securerequeststoanunguardedresourceareallowedwithoutanauthorizationcheck']
olingo-odata2;D:\Universita\FlakyPaper\DataSet\CSV\olingo-odata2.csv;2116;1;0;[];[]
opennlp;D:\Universita\FlakyPaper\DataSet\CSV\opennlp.csv;959;5;1;[];[]
openwebbeans;D:\Universita\FlakyPaper\DataSet\CSV\openwebbeans.csv;253;0;8;['org.jboss.cdi.tck.tests.extensions.configurators.observerMethod.ObserverMethodConfiguratorTest.notifyAcceptingConsumerNotified', 'org.jboss.cdi.tck.tests.implementation.simple.lifecycle.SimpleBeanLifecycleTest.arquillianBeforeClass'];['org.jboss.cdi.tck.tests.extensions.configurators.observerMethod.ObserverMethodConfiguratorTest.notifyAcceptingConsumerNotified', 'org.jboss.cdi.tck.tests.implementation.simple.lifecycle.SimpleBeanLifecycleTest.arquillianBeforeClass']
ozone;D:\Universita\FlakyPaper\DataSet\CSV\ozone.csv;2694;24;19;['org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testDeleteChunk', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testDeletePartialChunkUnsupportedRequest', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testReadChunkFileNotExists', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testReadOversizeChunk', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testWriteAndReadChunkMultipleTimes', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testWriteChunkIncorrectLength', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testWriteChunkStageCombinedData', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testWriteReadChunk', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testDeleteChunk', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testDeletePartialChunkUnsupportedRequest', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testReadChunkFileNotExists', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testReadOversizeChunk', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testWriteAndReadChunkMultipleTimes', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testWriteChunkIncorrectLength', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testWriteChunkStageCombinedData', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testWriteReadChunk'];['org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testDeleteChunk', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testDeletePartialChunkUnsupportedRequest', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testReadChunkFileNotExists', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testReadOversizeChunk', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testWriteAndReadChunkMultipleTimes', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testWriteChunkIncorrectLength', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testWriteChunkStageCombinedData', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerBlockStrategy.testWriteReadChunk', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testDeleteChunk', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testDeletePartialChunkUnsupportedRequest', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testReadChunkFileNotExists', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testReadOversizeChunk', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testWriteAndReadChunkMultipleTimes', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testWriteChunkIncorrectLength', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testWriteChunkStageCombinedData', 'org.apache.hadoop.ozone.container.keyvalue.impl.TestFilePerChunkStrategy.testWriteReadChunk']
pdfbox;D:\Universita\FlakyPaper\DataSet\CSV\pdfbox.csv;871;1;0;[];[]
pulsar;D:\Universita\FlakyPaper\DataSet\CSV\pulsar.csv;2533;5;0;[];[]
rocketmq-dashboard;D:\Universita\FlakyPaper\DataSet\CSV\rocketmq-dashboard.csv;171;1;0;[];[]
Struts;D:\Universita\FlakyPaper\DataSet\CSV\Struts.csv;600;0;3;['com.opensymphony.xwork2.validator.AnnotationActionValidatorManagerTest.testGetValidatorsForInterface', 'com.opensymphony.xwork2.validator.AnnotationActionValidatorManagerTest.testSkipUserMarkerActionLevelShortCircuit', 'org.apache.struts2.views.freemarker.FreemarkerResultMockedTest.testDynamicAttributesSupport'];['com.opensymphony.xwork2.validator.AnnotationActionValidatorManagerTest.testGetValidatorsForInterface', 'com.opensymphony.xwork2.validator.AnnotationActionValidatorManagerTest.testSkipUserMarkerActionLevelShortCircuit', 'org.apache.struts2.views.freemarker.FreemarkerResultMockedTest.testDynamicAttributesSupport']
Struts(13d9053050c9e4fb2ef049db6a37d3f6eebf48fa);D:\Universita\FlakyPaper\DataSet\CSV\Struts(13d9053050c9e4fb2ef049db6a37d3f6eebf48fa).csv;568;4;4;['org.apache.struts2.json.JSONValidationInterceptorTest.testValidationFails', 'org.apache.struts2.rest.handler.JacksonXmlHandlerTest.testObjectToXml'];['org.apache.struts2.json.JSONValidationInterceptorTest.testValidationFails', 'org.apache.struts2.rest.handler.JacksonXmlHandlerTest.testObjectToXml']
